"","X","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","r","close"
"1",1,0,0,10.8485492563695,0,28.6268565983651,0,25.3115694549245,0,5.53320845464047,4.85185262375159,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,16.1767053684748,"FALSE"
"2",2,0,0,10.0207320705957,0,19.3919113882457,0,17.1497184996335,0,9.20057113942785,12.1126998710839,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,15.5971678158575,"FALSE"
"3",3,0,0,5.10654834293831,0,19.9073110191903,0,23.0004077828253,0,4.55744494394114,13.5714667377485,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,15.0633028056351,"FALSE"
"4",4,0,0,6.03417490262955,0,13.0542311718135,0,23.2814373229152,0,9.32458526852196,8.30847880962193,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,14.6019524799933,"FALSE"
"5",5,0,0,7.01080669511567,0,10.8915498685145,0,10.0927945199261,0,3.96052806604873,12.2173236371508,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,12.0639431720166,"FALSE"
"6",6,0,0,8.66528640582671,0,14.6679430410667,0,20.3999169608483,0,2.50984858441612,7.68850327154215,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,13.2137840816159,"FALSE"
"7",7,0,0,4.64616644040663,0,15.2443688240363,0,16.8521108137446,0,6.88021154933964,13.5822989506568,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,14.0597968103849,"FALSE"
"8",8,0,0,4.09008559345037,0,16.8099911236737,0,20.2588259279987,0,6.16523601161413,12.1572968697388,17.7899454164669,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,12.0512986578492,"FALSE"
"9",9,0,0,3.89338480698356,0,17.5834689036132,0,10.4482281091286,0,4.61001007637811,11.0948002006482,10.7658855844235,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,9.72823914161166,"FALSE"
"10",10,0,0,4.57896955873598,0,5.68399888650108,0,0,0,7.73317703011598,13.1176567253844,13.189836512227,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,9.23299345008461,"FALSE"
"11",11,0,0,3.81419137403433,0,11.4247117580801,0,0,0,9.17159113213055,17.7153055287045,15.2638106659699,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,10.9989154096221,"FALSE"
"12",12,0,0,1.2134961734349,0,6.5348399094231,0,0,0,0,18.8387345424031,6.34644196711735,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,8.55059340422144,"FALSE"
"13",13,6.62442172480309,0,3.22141606535745,0,10.1703768009879,0,0,0,0,0,10.074592049148,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,6.73279723810903,"FALSE"
"14",14,1.69556945070874,0,0,0,2.53061030290889,0,0,0,0,0,4.4542722763297,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.46574598640356,"FALSE"
"15",15,1.04989809146542,0,0,0,5.42416783799422,0,0,0,0,0,4.26155567963095,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.74467987664311,"FALSE"
"16",16,-0.424636366675803,0,0,0,5.80036062716605,0,0,0,0,0,0.395984732152055,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.31400233198981,"FALSE"
"17",17,0.894192060690857,0,0,0,2.50440997985474,0,0,0,0,0,6.1747029578008,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.50928311112851,"FALSE"
"18",18,2.55837714339756,7.61600093829857,0,0,5.2176847426364,0,0,0,0,0,6.46018903619872,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.57125576315077,"FALSE"
"19",19,7.3647723320324,1.69670435722363,0,0,3.23058916649317,0,0,0,0,0,5.66580361291801,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.10982668877254,"FALSE"
"20",20,2.04620594200293,-0.0261320058575144,0,0,2.49197151935157,0,0,0,0,0,6.33824524022514,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.2622455827692,"TRUE"
"21",21,0,4.42580533199344,0,0,1.28585445225766,0,0,0,0,0,1.21894921226236,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.91669551352235,"TRUE"
"22",22,0,2.81565880322296,0,0,0.49271954708297,0,0,0,0,0,3.84476982027221,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.83833655668759,"TRUE"
"23",23,0,5.63071632236961,0,0,2.32394039534815,0,0,0,0,0,7.5389928693207,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.69734213140373,"FALSE"
"24",24,0,6.95497480017725,0,0,1.76327688327353,0,0,0,0,0,4.76429861426994,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.55812128184632,"FALSE"
"25",25,0,2.47082380502888,0,0,0.281103185712156,0,0,0,0,0,3.15772296324277,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.71588971512284,"TRUE"
"26",26,0,4.33804479766098,0,0,0.957174609745078,0,0,0,0,0,3.42951316003828,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.04218420407412,"FALSE"
"27",27,0,5.09825711788881,0,0,0.457063150711987,0,0,0,0,0,7.92908675808742,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.42895100563613,"FALSE"
"28",28,14.2476553241751,7.498709666278,0,0,0,0,0.0527043840473349,0,0,0,6.37201974343541,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,6.14180430621191,"FALSE"
"29",29,7.09680909153177,3.06374152703178,0,0,0,1.8173418730578,0,0,0,0,4.05824460505586,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.21168586669253,"FALSE"
"30",30,11.7412443133144,4.79120168187614,0,0,0,0.0841931138667862,0,0,0,0,3.75611643912872,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.7859098101754,"FALSE"
"31",31,5.87915888765206,8.61055913633627,0,0,0,-1.35278932149956,0,0,0,0,4.26898606724924,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.49582253131664,"FALSE"
"32",32,1.84747383534082,12.9958824232781,0,0,0,2.4144363379439,0,0,0,0,4.22338541689414,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.83471368350078,"FALSE"
"33",33,9.40366767178806,9.10782120862254,0,0,0,2.02121945847102,0,0,0,0,2.39027201291275,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4.06343641047515,"FALSE"
"34",34,5.47993973219802,16.9312227907447,0,0,0,0.625161753032291,0,0,0,0,2.99621691716476,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4.47335977717106,"FALSE"
"35",35,8.19284804665909,22.1399125878499,0,0,0,3.72453822548566,0,0,0,0,0.637566619142799,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,5.44016697929077,"FALSE"
"36",36,4.94683641225715,12.8922115133417,0,0,0,3.74180296862034,9.59507744240414,0,0,0,2.81784571562424,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,4.26537250817849,"FALSE"
"37",37,3.55986035486841,0,0,0,0,6.57933503338267,0.607591989402027,0,0,0,2.01560726578408,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,3.90271126080237,"FALSE"
"38",38,4.23855328356926,0,0,0,0,7.32700389528224,10.3695965031552,0,0,0,-0.254272375192517,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,5.19760401037895,"FALSE"
"39",39,10.6852232493396,0,0,0,0,3.20363359455945,9.38191957614728,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,9.17759829826341,"FALSE"
"40",40,12.3926336463026,0,0,0,0,12.9655962113286,7.70230736392468,10.1965514383732,0,0,0,0,0.63206505755894,1,0,0,0,0,1,1,1,0,0,0,0,1,10.7427495915329,"FALSE"
"41",41,9.55487791789706,0,0,0,0,13.6082400610849,11.7693932600866,9.63658687789325,0,0,0,0,7.20280341541465,1,0,0,0,0,1,1,1,0,0,0,0,1,12.0735651777203,"FALSE"
"42",42,12.5908833252143,0,0,0,0,6.90599485621544,1.99502632835417,3.6298047874406,0,0,0,0,3.69935130750404,1,0,0,0,0,1,1,1,0,0,0,0,1,8.95819849143511,"FALSE"
"43",43,6.88970473346744,0,0,0,0,16.4996317123343,10.2222894648802,3.53396828817903,0,0,0,0,9.49326094646614,1,0,0,0,0,1,1,1,0,0,0,0,1,11.1635524257729,"FALSE"
"44",44,13.8602210277933,0,0,0,0,10.2199290289959,5.41615005820122,7.74657928450623,0,0,0,0,9.24901436671202,1,0,0,0,0,1,1,1,0,0,0,0,1,11.4717087236076,"FALSE"
"45",45,13.5437990621511,0,0,0,0,21.1842041660927,16.7556584521917,2.3337424394688,0,0,0,0,5.36958396559043,1,0,0,0,0,1,1,1,0,0,0,0,1,12.2660046361644,"FALSE"
"46",46,10.0156085543655,0,0,0,0,19.5628340519952,11.5204215005794,3.13610799696565,0,0,0,0,6.18124700435968,1,0,0,0,0,1,1,1,0,0,0,0,1,11.2933403654183,"FALSE"
"47",47,6.60099177392336,0,0,0,0,20.3334179223302,14.4606816347987,6.4827355512406,0,0,0,0,5.93727717924797,1,0,0,0,0,1,1,1,0,0,0,0,1,11.8804296182478,"FALSE"
"48",48,14.4222585167609,0,0,0,0,13.9490174952667,9.42438136409626,11.1288378584377,0,0,0,0,9.87865670350388,1,0,0,0,0,1,1,1,0,0,0,0,1,13.0429411422224,"FALSE"
"49",49,6.39665190427233,0,0,0,0,0,18.8928348914006,5.22004142013036,0,0,0,0,6.85070072448121,1,0,0,0,0,0,1,1,0,0,0,0,1,13.6179082852061,"FALSE"
"50",50,11.8863904768645,0,0,0,0,0,15.1838497547789,9.44932990892149,0,0,0,0,8.03416698880521,1,0,0,0,0,0,1,1,0,0,0,0,1,14.6398394055191,"FALSE"
"51",51,0,0,16.4440251632456,0,0,0,18.4413608981467,0,10.2997063645525,12.4496603110255,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,17.5477651894115,"FALSE"
"52",52,0,0,13.5552894588862,0,0,0,9.40219591489604,0,10.982503101326,10.0546099154871,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,15.7342602813518,"FALSE"
"53",53,0,0,12.3605147539056,0,0,0,14.4352377691616,0,10.7602687540853,13.5131753971794,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,16.7244152961105,"FALSE"
"54",54,0,0,13.7917143703819,0,0,0,9.06099704944775,0,8.41686930791393,12.1523738125066,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,15.4758051662915,"FALSE"
"55",55,0,0,20.2383223546988,0,0,0,9.04857383278144,0,5.77692166083575,12.449234997267,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,15.7831451351694,"FALSE"
"56",56,28.5095883344892,0,18.0114246146451,0,0,0,15.9939401882076,0,7.79542749244369,4.63285805798864,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,18.0725542723662,"FALSE"
"57",57,32.0412543729266,0,8.04424674856705,0,0,0,16.9566365539525,0,6.09772220423215,9.0560116300192,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,17.6074092830433,"FALSE"
"58",58,11.3680365424294,0,7.44039408439587,0,0,0,14.7083636379076,0,2.97839909511738,9.02672740811695,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,14.1994340736421,"FALSE"
"59",59,16.2255471710693,0,9.7680395999913,0,0,0,14.5268997213443,0,5.01625083025394,10.346012487007,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,15.6483862301171,"FALSE"
"60",60,23.1250352811244,0,15.3104701904798,0,0,0,8.42819269920384,0,7.07587166095245,5.7636292832278,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,16.0826878362175,"FALSE"
"61",61,14.7792772437239,0,10.0785159089282,0,0,0,15.2361518061779,0,6.50496792341781,14.3103068696994,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,16.5075908548145,"FALSE"
"62",62,13.1965153780434,0,14.217906773403,0,0,0,9.57721303223985,0,4.07480228068357,7.69178486750012,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,14.6107414016655,"FALSE"
"63",63,8.06314253103078,0,7.41516594480982,0,0,0,10.5159095164771,0,2.93522367495017,7.72205688318545,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,13.0459332618898,"FALSE"
"64",64,17.0098643890729,0,9.93642557318302,0,0,0,11.1493163630611,0,5.83685102373595,7.49077795485766,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,15.0575403511997,"FALSE"
"65",65,9.64839767967642,0,6.59178727135132,0,10.9571508620405,0,16.0934805031665,0,7.56106482370355,9.03498503909747,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,13.3170739463888,"FALSE"
"66",66,6.49851374315222,0,7.9049226780153,0,26.8042537652571,0,7.3318644998563,0,4.84516432364604,10.9053759030475,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,13.6303526849338,"FALSE"
"67",67,2.31338419874239,0,10.7539450436552,0,13.2627827853828,0,9.94793016947809,0,1.42691369362748,13.1924041607005,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,11.7607962046791,"FALSE"
"68",68,2.98865893465069,0,3.09909417116833,0,16.2377994258711,0,10.2114948601039,0,1.36430978181781,12.9748275813887,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,11.2268701682846,"FALSE"
"69",69,5.57416479996062,0,6.74246486783929,0,3.70506002741672,0,11.2915395952573,0,2.29029218119684,9.59754468238986,17.8445135212621,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,8.00925280626241,"FALSE"
"70",70,1.742635502955,0,0,0,9.92310121118585,0,9.71731304484414,0,2.09446342184604,10.9563182970323,8.64372923997287,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,6.82855870832842,"FALSE"
"71",71,7.58626285922037,0,0,0,15.6483080132443,0,7.29045810634983,0,2.15682266353775,14.4213946693551,11.5545463688005,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,8.63495594437416,"FALSE"
"72",72,3.56645417206442,0,0,0,14.4501217148096,0,4.58231410758383,0,4.50379936006515,16.6985381284551,8.8336871205504,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,8.25915487298222,"FALSE"
"73",73,3.38716068357511,0,0,0,2.56495632507042,0,11.4556378485726,0,3.18979830184341,9.24630749773212,10.4238834983081,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,6.4481649971189,"FALSE"
"74",74,3.62704705212393,0,0,0,1.06046121834468,0,10.2500099920868,0,0,14.6879951145516,16.1007146222151,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,7.68773745656408,"FALSE"
"75",75,1.19037808958189,0,0,0,7.21183212634533,0,7.7469196728491,0,0,16.3801922646995,8.08508715204532,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,7.44804667685304,"FALSE"
"76",76,0.849296920761331,0,0,0,1.02912700343824,0,4.80427658912967,0,0,0,8.68280696543401,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3.95986173224225,"FALSE"
"77",77,4.17593254284428,0,0,0,9.83260506062696,0,5.62834487527254,0,0,0,6.76949175426868,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,5.41818172466637,"FALSE"
"78",78,2.53562215605857,0,0,0,3.07699115918184,0,6.57687038891861,0,0,0,5.65967492329656,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,4.41341896173907,"FALSE"
"79",79,4.28825730091034,0,0,0,5.6960691600115,0,11.6505369142133,0,0,0,6.08817873418726,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,5.6784098662821,"FALSE"
"80",80,1.80599131188108,0,0,0,3.80344598789723,0,11.0492857989551,0,0,0,5.78867790247575,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,5.04810592528503,"FALSE"
"81",81,0.981235590183355,0,0,0,6.76162630735863,0,7.08188832736078,0,0,0,8.31166529562651,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,4.98735478415184,"FALSE"
"82",82,3.67496576530094,0,0,0,6.07786646178944,0,0,0,0,0,6.69991274850486,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5.32280471047261,"FALSE"
"83",83,3.78183611563134,0,0,0,2.01419993255742,0,0,0,0,0,7.66006618078372,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.89530552439938,"FALSE"
"84",84,3.37560959665899,5.55672211899009,0,0,6.29827474064256,0,0,0,0,0,4.59076710962265,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.41069407720433,"FALSE"
"85",85,4.39119071884338,5.65135688042969,0,0,3.63139826281451,0,0,0,0,0,7.13891698944847,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.40300811576677,"FALSE"
"86",86,6.79866428133746,5.28956628894831,0,0,0.856801730270025,0,0,0,0,0,5.95384708722725,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.18696661949434,"FALSE"
"87",87,0.204166633240329,2.87591038721983,0,0,1.75613040818899,0,0,0,0,0,5.4746674663095,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.2289615687887,"TRUE"
"88",88,13.823428620034,2.8316014110995,0,0,0.167885539737582,0,0,0,0,0,7.01391299375294,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.69739027747991,"FALSE"
"89",89,7.00973566150712,3.7825356724481,0,0,0.111476100778241,0,0,0,0,0,4.52195436622065,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.82488084429584,"TRUE"
"90",90,0,4.61948479085227,0,0,1.15665299398375,0,0,0,0,0,5.44316315626075,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.26222536899154,"FALSE"
"91",91,0,9.79067750926811,0,0,1.06587325094495,0,0,0,0,0,3.0450504635327,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.66314068447035,"FALSE"
"92",92,0,3.13494828330796,0,0,0.169406513212024,0,0,0,0,0,2.8963741209941,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.75840181272057,"TRUE"
"93",93,0,5.22046657193548,0,0,0.761524071480877,0,0,0,0,0,4.14378301114472,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.17792638285543,"FALSE"
"94",94,0,5.90029206364556,0,0,1.3743218099915,0,0,0,0,0,6.05949147083266,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.48927995351027,"FALSE"
"95",95,0,2.9953865406795,0,0,4.91966403017952,2.3195561477541,0,0,0,0,6.40297374514009,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.04426827083562,"TRUE"
"96",96,0,9.29727551925998,0,0,4.68401812307803,2.50917984556091,0,0,0,0,6.50346996701623,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.77429655296937,"TRUE"
"97",97,0,3.77122772130853,0,0,0,0.273973345012673,0,0,0,0,6.82835632737474,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.5212092838997,"FALSE"
"98",98,0,8.72898248193634,0,0,0,1.58415602556294,0,0,0,0,5.97497987754532,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.13322994551394,"FALSE"
